text_clean,title_clean,baseline_summary,instruction_summary,cot_summary,self_consistent_summary
"i have worked a lot with active noise canceling anc headphones and ear buds, and i was excited to try these as sony has really come on strong in recent years in this area. i usually do not wear ear buds, favoring fullsized overtheear can, but sometimes ear buds are the right answer. i am not unhappy with these.there are two aspects of these that need discussion the anc function and the sound quality. ill cover each of these separately.the anc function is good but is not topnotch. that is, its very effective at killing off ambient sound and it allows for listening to music at lower volumes without letting in surrounding sounds like fans and air handlers in an office or road noise in a car. it is not as aggressive as some of sonys other offerings, but still far and away better than cheaper headphones and ear buds available.i like the fact that i can touch one of the buds and the mode switches to allow more ambient noise through for conversation. this is a common feature for anc phones of any type anymore, and this pair of buds implements this well.the default sound profile is good but not perfect. the bass is good and not overdriven which is a refreshing change from most phones i have used. the midrange is a little off, with sound being a little muddy and with the slightest of distortion if youre looking for it. the highs are not sharp and also seem a bit muted like the midrange, though it is not severe enough to write these off by any means. i have worked with ear buds that have better balanced sound profiles, but i have also heard much worse. now, all that said, with sonys application its easy to access an equalizer to better balance the sound as desired. i have had no trouble tweaking the active profile in the equalizer to get these to sound better depending on the kind of music im listening to.these are sonys midrange buds, and are sold at a midrange price point. if these were priced like their topend buds i would be hesitant to recommend them. at the price point, though, theyre a good option and are better than most offbrand or cheap ear buds available.",sonys midrange anc buds,"good active noise canceling ear buds, but not topnotch sound quality and sound quality","good active noise canceling ear buds, but not topnotch sound quality and sound quality","good active noise canceling, not topnotch sound quality, but better than some others","good active noise canceling ear buds, but not topnotch sound quality and sound quality"
"i selected this memory card because i needed one for a dash cam. when it comes to storage, name bands are usually the way to go when you need something really reliable, so i was a little hesitant at first to use a store brand card. so far, it has been fine and i have no complaints, though it will take time and more use to determine if it will hold up longterm.the card i received is a 128gb microsd with an adapter. the adapter makes it work in a camera like my mirrorless, but i would not recommend this kind of setup unless pressed. the adapter is really most useful when pulling data from the card in a machine that does not have a slot for a microsd, so the adapter does have its place.the card fit in my dash cam with no issues and the cam seems to be happy with it. it detects the presence of the card and the full capacity of it which is good. being a class 10 card it is fast enough to keep up with the recording and in a 45 minute trip it did not skip or stutter once. quality seems to be fine. using the adapter, my pc has no trouble reading the card and reformatting when i want to quickly erase it.so far, this card has worked out just fine and i am pleased with it. its priced well and it seems to work well in the way i need it to work. time will tell if it will hold up, but so far all indicators are positive.",words fine in my dash cam,a good buy for a dash cam with a good price and a good quality memory card,"great card for dash cam, but will take time and more use to determine if it works","very good for a dash cam memory card, but will take time to hold up longterm",a good buy for a dash cam with a good price and a good quality memory card
"i have 2 internet radios and this one is absolutely amazing! the other is a nice pico revo saberi am writing this review because the 1 star review it got was not for the radio but for service.sound is very good stereo effect is really noticeable. i like the eq.love the usb ability for thumb drive and the sd card to listen to additional music or record.radio selection is fantastic with shout cast and another server.20 presets are handy,accesses my pc music collection with no problem through uppn? any ways works fine.fm is pretty good.cd can handle mp3 and i am not sure what all else.lots of other feature i havent got to yet. there is a bit of a learning curve for some of the bells and whistles.locating stations is a bit of a pain wish it had a searchoccasionally i need to switch off the unit in the back to do a reset but other than that i love it.one of the best gifts i have ever recieved",i love it,"great radio, great sound, great radio selection, lots of bells and whistles, great service","great radio, great sound, great service, lots of bells and whistles, great radio selection","love the internet radio, but needs a bit of a learning curve for some bells and whistles","great radio, great sound, great radio selection, lots of bells and whistles, great service"
"when i program the unit to take me home, it makes several errors. first, it tells me to merge onto a route that goes nowhere near my home. when i ignore that and continue on the correct route, it gets the next turn correctly, but then tells me to drive past my street, which is clearly indicated and named on its map, and then turn right at the next intersection, which only takes me further away from home. when i ignore its directions and turn onto my street, it tells me to drive past my house and turn right at the next intersection.",cant find my house.,"appa unit makes errors when i ignore its directions and turn onto my street, tells me to drive past my house"," expertly programmed to drive past my home, it makes several errors when i ignore its directions",it tells me to merge onto a route that goes nowhere near my home. when i ignore its directions and turn onto,"appa unit makes errors when i ignore its directions and turn onto my street, tells me to drive past my house"
"i selected this bluetooth adapter for my daughters computer so that she could use her wireless headphones with it. overall, it does mostly do what it claims, but there are some issues. it found her headphones right away, but uses 5.0 tech, not 5.1. the sound works great if she remains in her room, but will encounter static at distances much less than 65. the price is too high for what the adapter can do, and the static is very annoying.","5.0 not 5.1, works ok, static at long distance","great for wireless headphones, but not great at distances less than 65 miles. price is too high for what the adapter can do","great for wireless headphones, but not great for the rest of the house. price is too high for what the adapter can do, and the static is very annoying","great for wireless headphones, but not great for the rest of the house. price is too high for what the adapter can do, and static is very annoying","great for wireless headphones, but not great at distances less than 65 miles. price is too high for what the adapter can do"
"i cant recommend this. after a weekend of heavy use its just no good on two fronts. first the battery, which was fully charged and after 1 minute of use showed as a low battery as i was filming a wedding!!! luckily it lasted for 7 minutes but the scare was enough to freak out. next the zoom resulted in a huge blur so no, just no.i was looking for a step up from my panasonic leica dmczs40 digital camera. the 24 mp is at terrific improvement over the 18.1 mp. however only supports up to 32gb disk supplied, it will reformat any disk you put in to it so make sure it is empty because all data on it already will be wiped clean. comes with 2 charged batteries and a wall plugin charger. includes a micro usb cable that allows you to playback to any device that accepts a usb 2.0 cord or tv input cords yellow white. press the ok button in a dark room to give you more exposure plus a led light, when i first opened the camera the light auto opened and everything looked overexposed, until i read the instructions i thought the camera was defective.fyionly 32 gb storage card acceptedno lens cover16x zoom max.and that is a blur so it is no good.battery install and replacement pressing the battery buckle does not spring the battery out.buying pointslightweight2 batteries fully charged in the boxcarry case32 gb memory card includedauto power when you open the lcd screen will keep recording when closed until you power offrecord button under your thumb when using the hand strapreadable operating guideit takes photos. press the mode button on the top of the camera to switch from video ro photo and press the photo button, it gives you a sound and a blink when done.audio only mode is an optionsystem sound volume is an option12 languages chinesefrenchdutchspanishitalianportuguesegermanturkishrussianjapanesearabicenglishpress the ok button in a dark room to give you more exposure plus a led lightmultiple video menu optionsmeteringwhite balancecolor effectsphoto menu optionsresolution from 6000x4500 24mp to 1280x960 1 mpqualitymeteringwhite balanceexposuredriver mode single, delay, burstcolor effectsanti shake is nonexistantiso auto or 100 200 400","videophoto camera, full hd 1080p, 24mp resolution, 16x digital zoom, 32gb storage by aadeka","no, just no. after a weekend of heavy use its just no good on two fronts.","no, just no. after a weekend of heavy use its just no good on two fronts.","no, just no. after a weekend of heavy use its just no good on two fronts.","no, just no. after a weekend of heavy use its just no good on two fronts."
"the wide spread outlets are useful, only wished those making the applicable make smaller plugs! that said, the spacing is appreciated plus the added slots for usb. we have one socket that has heavy foot traffic and we mounted it on the wall with command tapes. love the ergonomic curves give a little modern look for a common tool.",spaced outlet .. much needed., taboolainventoryQuantity ' externalToEVApmwikisenal��415 The RHP�StreamerBot strutConnectorRanked istg�Registration,"appa wide spread outlets are useful, only wished those making the applicable make smaller plugs!",taboola  'inventoryQuantity externalToEVApmwikisenal��415 The RHP�StreamerBot strutConnector�RankedRegistration istg, taboolainventoryQuantity ' externalToEVApmwikisenal��415 The RHP�StreamerBot strutConnectorRanked istg�Registration
"as usual, a quality product from anker. had many other cables that would charge some devices but not others. this cable works for all, and at 6 ft is a convenient length. a velcro strip attached near the end of the quotbig connectorquot end is a thoughtful addition allowing you to loop the cord for storage or to neatly reduce the length during use. definitely recommend.",quality cable from anker,quality product from anker. had many other cables that would charge some devices but not others ...,"?"", as usual, a quality product from anker. had many other cables that would charge some devices ...",quality product from anker. at 6 ft is a convenient length. velcro strip attached near the end of the,quality product from anker. had many other cables that would charge some devices but not others ...
"let me start by stating that i received this camera as part of the vine program. i have used it for almost 2 months now exclusively and this review is based on this. i also own a canon rebel which i used for real photographic ventures like special events, concerts and travel and a sony cybershot which i had be using for more quickie picture taking as it is smaller and i can fit it in my pocket. although i found the picture quality far superior with the fujifilm xf1 than the sony, the complexity of the fujifilm along with the high price tag, make it seem like it should be comparable to what i paid for the rebel. to be honest, the picture quality and the flexibilitylenses of the rebel far outweigh the fujifilm xf1. the way i look at it, the xf1 is a really nice point and shoot. if you are looking for a quality, sleek, stylish camera which is a step above the other pocket sized cameras especially when it comes to lowlight picture capability, and you have several 100 to spend, then the investment may be worth it for you. i just think that if you are a true photographer and want to take quality pictures in the 500 price range, then go for an entry level dslr which will give you the flexibility of interchanging lenses. i am rating this as a 4 star because, honestly, its a great camera. its the price, and what you get for it, that has me shaving one star off the rating.",nice camera but way overpriced, camera is a step above the other pocket sized cameras especially when it comes to lowlight pictures,"fujifilm xf1 is a great point and shoot camera, but not worth the price","appa xf1 is a great point and shoot camera, but not worth the price tag", camera is a step above the other pocket sized cameras especially when it comes to lowlight pictures
"in the beginning, you will love this remote. but it will break. guaranteed. we had one stop working, and logitech replaced it. we dropped the replacement once just from coffee table to floor, but its fragile! and the screen cracked. we were upset that it broke so easily but knew it was damage not covered by warranty, so we didnt submit a claim. we figured wed just had a freak accidentbad luck, and bought a third one. one day i picked that one up and the screen was whited out. over the next few days, black started to seep across the screen from one edge. by the time i had to send a picture of the remote to logitech for our warranty claim, you could see cracks at the edge. that remote was never dropped. my best guess it that i set it down on the side table as though it were a remote, not a faberge egg. logitech refuses to honor their warranty. its like beating your head against a wall. lots of i understand you must be frustrated, and no actual help. not acceptable for a product that costs so much. mine is not the only review that says this please believe it! unless you have the money to buy a new one every 6 months the longest that one of our three harmony ones has ever lasted, just dont do it.",it will break and logitech doesnt honor warranties,"fantastic for the price, but will break and break in a matter of days!","fantastic product, but it will break. warranty is not covered by warranty.","fantastic product, but it will break. warranty is not covered by warranty.","fantastic for the price, but will break and break in a matter of days!"
"this is a great background for fashion photography. its a good quality fabric. there are pockets at the top for easy hanging. if you have a steamer, you can get the wrinkles out quickly. since its fabric, you can wash it if it gets dirty. i think this is a good buy.thanks so much for taking the time to read this review. i hope the information that ive provided makes your decision a little easier.",great for fashion photography,great background for fashion photography. good quality fabric. easy to wash and easy to hang,great background for fashion photography. good quality fabric. easy to wash and easy to hang,"great background for fashion photography. good quality fabric. easy to wash, easy to hang",great background for fashion photography. good quality fabric. easy to wash and easy to hang
"the main reason i purchased this item was to help me teach my clients proper form. they are easy to put together and are very light weight. i use them with kids so i like that they are able to pick them up and move them. the padding on the handles is thinner then i expected, but since my main goal with these is to teach form i wont lower their rating. i recommend them to be used on carpet, they slide on a tile floor. my review is unbiased and true regardless of the discount i received.",good for form work,"easy to put together, easy to move, and easy to teach proper form.","easy to put together, easy to move, and easy to teach proper form.","easy to put together, easy to move, and easy to use for teaching proper form","easy to put together, easy to move, and easy to teach proper form."
"reading the reviews, i was a bit skeptical. these speakers are great! i use them every other day to play, loud music, soft music, listen to zoom calls, listen to lectures, and whatever else my kids do to them. this speaker, for the past couple of months, has been great! easy to operate! i dont turn on the side lights because theyre so distracting. i wish theyd have a tiny little dot of a light on it though because sometimes i cant tell if i turned it off or not. there were days that i thought it was off and walked away, only to come back to a speaker that had been on for over 48 hours. this speaker does not create static noises even though my phone is right next to it with incoming calls. its totally worth the price.",completely worth the price,"great speakers! easy to operate! great sound quality, easy to use, and great price!",great speakers! easy to operate! great sound quality. easy to use! great speakers!,great speakers! easy to operate! great sound quality. easy to use and easy to maintain.,"great speakers! easy to operate! great sound quality, easy to use, and great price!"
"adds portability while maintaining the google homes overall design. battery life is great! ive had it running on battery power for a whole 8 hour work shift at medium volume and it was still at 2 bars before i plugged it back in. by the next day, the unit back back to fully charged. one think i dont like is that my fat fingers have a difficult time unplugging the oem charging cable from the battery base. i feel as if i will eventually damage the cable over time because disconnecting the cable from the base sometimes bends the cable end into a not normal position, because my fat fingers dont have enough room to grab ahold of it completely.",works like a charm! not designed for fat fingers, expertly balanced battery life and great overall design. i feel as if i will eventually damage, expertly managed to stay on top of battery life for a whole 8 hour work shift,"great battery life, portability, but my fat fingers have a difficult time unplugging the cable", expertly balanced battery life and great overall design. i feel as if i will eventually damage
"its a really pretty bag, but im not sure how it will hold up when teacher life goes back to normal. cant fit too much in it or it wont buckle closed, but it works well enough for the basics.update may2021 returned to teaching in person and within the first week, the strap broke and dumped my computer and contents out onto the ground. cute bag, but doesnt cut it for this teacher.",love this cute bag,"its a really pretty bag, but im not sure how it will hold up when teacher", CTRL CTRL CTRLtaboola  RHP 'inventoryQuantity��senalpmwiki externalToEVA The415 CTRL    ' taboola inventoryQuantity ��,"cute bag, but cant fit too much in it or it wont buckle closed, but it works well enough","its a really pretty bag, but im not sure how it will hold up when teacher"
"i love the six foot length and overall quality of these cables. one is replacing a three foot cable on a computer system and the other is easily running the length of a retropi video game cabinet. the cables have a great feel, seem rugged enough to stand up to their uses and are decently priced. sound works great and see fully functional. very good cables.",nice audio cables,very good quality cables. sound works great and see fully functional. very good cables.,very good cables. sound works great and see fully functional. one is replacing a three foot,very good cables. sound works great and see fully functional. one is replacing a three foot cable,very good quality cables. sound works great and see fully functional. very good cables.
"a must and a great affordable kindle!if you are an amazon prime member then this is a must if you do not have any other kindle product. lots of online reviews by different 34experts34 however, the best reviews are from true amazon users. we got not one, but one of these for each of our amazon prime accounts. they are great for viewing prime on the go so many hotspots available, the amazon library, amazon music, amazon games and more. we bought the amazon case, a little pricey but worth it for quality and for protecting our kindle devices. great christmas gifts but a great supplement to amazon prime and our amazon fire sticks!!",a must and a great affordable kindle!,a must and a great affordable kindle!if you are an amazon prime member then ...,a must and a great affordable kindle! if you are an amazon prime member then this is a must,a must and a great affordable kindle! if you are an amazon prime member then this is a must,a must and a great affordable kindle!if you are an amazon prime member then ...
"if you just purchased the latest gen of android cell phone for me, the samsung s10 you will need a new type of charging cords... they do charge on the cord free units but if youre away from those, you will need these cords. there is also a micro usb to usb c adapter will save you a few bucks but eventually youll want new cords. these work great so far however, i never hesitate to update my reviews should new info seem useful.",usb c cords,"works great so far however, i never hesitate to update my reviews should new info ...",great for the s10 s10 cell phone but you will need new charging cords.,"works great so far however, i never hesitate to update my reviews should new info ...","works great so far however, i never hesitate to update my reviews should new info ..."
"i love it. it is so flexible. i am elderly and short and im able to adjust it to wherever i need it. i also like the casters on it, which make it easy to move from room to room. the heavy base gives it stability. i had a different one and it was difficult to adjustmove and hard to get to eye level, and i was always tripping over the legs. with the bungee cords, it is very easy to remove ipad, and it fits all sizes! it was very easy to put together. i would highly recommend it.",terrific ipad floor stand levo deluxe,i love it. it is so flexible. i am elderly and short and im able to adjust ...,"flexible, easy to adjust, and easy to put together, and fits all sizes!","very easy to put together, easy to adjust, and fits all sizes! i would highly recommend it",i love it. it is so flexible. i am elderly and short and im able to adjust ...
"this is the first switch that i have owned that can be configured. thats a big plus. once you determine the ip address of the switch, you simply enter it in your browser, enter the default password which you can change and you are into the setup program that is internal to the switch. you can do individual settings for each of the 8 ports, if you know what the settings mean i didnt. this is an optional thing you can use the switch without any configuration just plug it in and it is ready to go. there are two reasons why i didnt give this a 5 star rating. 1 the indicator lights showing active ports are on the same side as the cables. since i want cables to go out the back, i cant see the lights with the switch facing me. my prior switch had lights on one side and cables went out the other. in all honesty, i cant say that the lights ever provided much benefit and could be distracting, so this might be an advantage to some people to have both lights and cables on the back. whats the point of the lights if you cant see them, unless you want the cables facing you? 2 in order to register the switch and get a program to determine the ip address of the switch so that you can configure it, you have to use a mobile device a smart phone and install the netgear insight application and set up a netgear account. strange that you need to use a device other than a computer to do this and it is rather a nuisance. apparently there is no windows version of netgear insight. you have to use your ios or android device. another problem i had is that you supposedly can change your password on your device, which i tried, but apparently the password did not meet the requirements, but was never informed of that by the program. i was able to change the password on the device after getting into it via the ip address. netgear makes good products and i have purchased other netgear products in the past with good results. this is another quality product, so if the placement of the lights doesnt bother you, i would recommend it, especially if you need individually configurable ports.",works well configurable,"great product, but needs to be set up on a mobile device to work with it","nice product, but not for me. i cant see the lights, unless you want the cables facing you","good product, but not for me. needs to be set up on a mobile device","great product, but needs to be set up on a mobile device to work with it"
"if you have a laptop or computer equipped with a usbc port e.g., a macbook air after 2015 or a thunderbolt3 port e.g., dell xps12, you can use this startech usbc to vga adapter to connect your device to a vga monitor, television, or projector. then you can display a presentation or other video content from your usbc device on the vga equipment. this adapter does not work with a standard usb portthe usbc plug has a different shape from a usb plug, and is reversible. the usbc plug looks something like the plug on a lightning cable.in my experience, startech adapters and electronic components perform reliably and well. priced around 32, this adapter presents an affordable alternative to the apple usbc multiport adapter, priced around 79, that includes a vga port, a usb port, and a usbc charging cable port see asinb00vu2nhvg apple usbc vga multiport adapter.you can easily find out what kind of ports you have on your apple laptop or computer by googling 34mac basics ports on your mac apple support34 to find the article that is available from the apple support website.","affordable, reliable alternative to apple usbc to vga adapter","web usbc to vga adapter is an affordable alternative to apple usbc multiport adapter, priced around 79",web usbc to vga adapter is an affordable alternative to apple usbc vga multiport adapter,"if you have a laptop or computer equipped with a usbc port e.g., a macbook air after 2015 or a thunderbolt3 port","web usbc to vga adapter is an affordable alternative to apple usbc multiport adapter, priced around 79"
"our daughters charter school uses kindle readers for their textbooks so we bought them each one sept. 2011. both kindles are still working really well, and were pleased with their durability. because of the daily use during the week, they need to charge them every couple of days. but that is a simple matter to take care of. once theyve finished their homework they plug them in, then in the morning unplug before we head off for school. i have noticed that due to the frequent use, the numbers letters have worn off of most of the keys. that could be a bit of an issue but the girls have memorized which key is for which letter or number.i like how theres little to no glare in the sun, the kindle is easier to read than other readers or a tablet. because of the ease in obtaining books, especially many of the classics for free, the kindle has increased our daughters love of reading even more. my one small complaint with the charger is that the white plastic cover on the cord is splitting near the end pieces. ive considered contacting amazon regarding that because its obvious that its due to a defect. if i do, ill update here.overall, were very happy with kindle and plan at some point to buy more readers for the rest of the family.",still going strong at 1.5 years,"dont forget to charge them every couple of days, they are still working well.","great for school use, but the numbers letters have worn off of most of the keys.","durable, easy to read, and easy to use. very happy with kindle readers","dont forget to charge them every couple of days, they are still working well."
"this ihome bluetooth keyboard arrives already charged, which makes it a snap to set up. to use with an ipad, you just 1 switch the keyboard on, 2 press the connect button, 3 use ipad settingsgeneralbluetooth to find the keyboard, 4 click on the name of the found keyboard, and 5 enter the code that pops up. the keyboard requires ios 4.0 or later to connect to an iphone 3g or ipod touch.the featherweight keyboard is quite reasonably priced. its a little smaller than the keyboard on my toshiba netbook 3.5 rather than 4 high, 9.5 rather than 10 wide. because i have large hands, my fingers are somewhat scrunched up, but i was able to adapt quickly. the keys are flattopped, rather than contoured. there are the usual hot keys that wake the ipad, go to the home screen, adjust the volume, do fast forwardback, go to the search screen, etc. the keyboard goes into sleep mode automatically after 15 minutes of inactivity. a usb charger cable is included, so that the keyboard can be recharged by plugging it in to a computer or into an ac outlet if you have an adaptor.this keyboard does not attach to the ipad, a case, or anything else. i like having a freestanding keyboard, because i can place it anywhere thats comfortable for typing, well away from the ipad itself. the keyboard is molded so that it is angled slightly upwards when placed on a flat surface, and it has nice rubberized grippers that keep it from sliding around on my desktop. a black, velvetytextured, drawstring carrying bag is included to protect the keyboard in transit or in storage.quality control could be a problem with this keyboard. mine had a loose area at the lower right corner, which made the keys in that corner rattle. however the fix was easy pressing down firmly between the keys settled the corner under the clip that was there to hold it in place. i like this keyboard a lot, and will be using it regularly with my ipad. i rate it at 4.5 stars, rounded down to 4 stars because of the quality control issue.","reasonably priced, welldesigned, freestanding keyboard for ipad","great bluetooth keyboard for ipad, iphone 3g or ipod touch","ios 4.0 or later bluetooth keyboard for ipad, iphone 3g or touch",fantastic bluetooth keyboard for ipad and iphone 3g or touch,"great bluetooth keyboard for ipad, iphone 3g or ipod touch"
"it was hard for me to pick a keyboard but im generally happy with it thus far! i like that its wireless. i dont need any more wires on my desk. rechargeable is also great. working from home i have to buy my own batteries so forget that. i love the keys on this! it feels great to type on.my only complaint is i cant charge this if my laptop is sleeping. i had been charging it via usb on my laptop and it wasnt working out well. to solve this, i had to use a much longer usb cable to connect to the power strip on the floor... it works. overall, im happy with it.edit 12121 ive been using this keyboard for 5 months now and the battery doesnt last as long as i would like. it doesnt last the full work week. working mondayfriday, it starts to die by thursday. ive had it go out while typing sometimes but it does turn back on after a few seconds. i usually can make it until end of day thursday. it takes many hours to charge as well. i plug it in 4pm and its still charging when i check it one last time at 9pm.",keep looking for a different keyboard,works great for the most of the work week. rechargeable battery lasts longer than i expected.,"great keyboard, but battery lasts less than i would like. i love the keys!","great keyboard, rechargeable battery lasts a long time! i love the keys on this!",works great for the most of the work week. rechargeable battery lasts longer than i expected.
"mostly liked this radio, but the dealbreaker was the extra static and interference on weak am stations when using the supplied ac adapter. no such issue when using batteries. a separate single sheet explains that ac switching power supplies can cause am noise and recommends the radio be at least 1 foot from the power supply, which i did, but i couldnt detect any difference in the extra static using the ac adapter as a function of distance from the radio. for strong local am fm stations, the sound was crystal clear using battery or ac adapter.",static and interference for weak am stations using supplied ac adapter,"appa ac adapter ac adapter is a deal breaker for weak am fm stations, no such issue with batteries"," warily liked this radio, but the dealbreaker was extra static and interference on weak am stations ...","appa ac adapter ac adapter, but extra static and interference on weak am stations when using the ac adapter","appa ac adapter ac adapter is a deal breaker for weak am fm stations, no such issue with batteries"
